ID_;PROC_INST_ID_;BUSINESS_KEY_;PROC_DEF_KEY_;PROC_DEF_ID_;START_TIME_;END_TIME_;DURATION_;START_USER_ID_;START_ACT_ID_;END_ACT_ID_;SUPER_PROCESS_INSTANCE_ID_;SUPER_CASE_INSTANCE_ID_;CASE_INST_ID_;DELETE_REASON_;TENANT_ID_;STATE_;ID_;PROC_DEF_KEY_;PROC_DEF_ID_;EXECUTION_ID_;CASE_DEF_KEY_;CASE_DEF_ID_;CASE_INST_ID_;CASE_EXECUTION_ID_;TASK_ID_;ACT_INST_ID_;NAME_;VAR_TYPE_;REV_;BYTEARRAY_ID_;DOUBLE_;LONG_;TEXT_;TEXT2_;TENANT_ID_;STATE_
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;3003ff96-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceNumber;string;0;;;;GPFE-23232323;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;3003ff98-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceDocument;file;0;30058641-e994-11e8-85f9-3ca9f4b1daec;;;invoice.pdf;application/pdf#;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;300426a9-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;amount;double;0;;30.0;;;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;300426aa-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;creditor;string;0;;;;Great Pizza for Everyone Inc.;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;300426ab-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceCategory;string;0;;;;Travel Expenses;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-16 12:38:50.481;;;;StartEvent_1;;;;;;;ACTIVE;3011461f-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;approverGroups;serializable;0;30114622-e994-11e8-85f9-3ca9f4b1daec;;;;java.util.ArrayList;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-02 12:38:51.116;;;;StartEvent_1;;;;;;;ACTIVE;306559a6-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;invoiceNumber;string;0;;;;BOS-43934;;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-02 12:38:51.116;;;;StartEvent_1;;;;;;;ACTIVE;306580b8-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;invoiceDocument;file;0;306580c1-e994-11e8-85f9-3ca9f4b1daec;;;invoice.pdf;application/pdf#;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-02 12:38:51.116;;;;StartEvent_1;;;;;;;ACTIVE;306580b9-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;amount;double;0;;900.0;;;;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;2018-11-02 12:38:51.116;;;;StartEvent_1;;;;;;;ACTIVE;306580ba-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;creditor;string;0;;;;Bobby's Office Supplies;;;CREATED
